# DNES sensor node online
# CSV: t_ms,acoustic,vibration,presence,radar_hex
100,820,130,0,
200,815,132,0,
300,822,128,0,
400,818,131,0,
500,821,129,0,
600,819,130,0,
700,820,131,0,
800,823,130,0,
900,818,129,0,
1000,821,130,0,
1100,820,131,0,
1200,822,130,0,
1300,819,129,0,
1400,820,130,0,
1500,821,131,0,
1600,822,130,0,
1700,820,129,0,
1800,823,131,0,
1900,821,130,0,
2000,819,129,0,
2100,820,130,0,
2200,822,131,0,
2300,818,130,0,
2400,821,129,0,
2500,820,131,0,
2600,822,130,0,
2700,819,129,0,
2800,820,130,0,
2900,823,131,0,
3000,821,130,0,
3100,835,160,1,AA0102
3200,870,210,1,AA0103
3300,940,280,1,AA0104
3400,1050,360,1,AA0105
3500,1180,450,1,AA0106
3600,1350,540,1,AA0107
3700,1520,640,1,AA0108
3800,1700,760,1,AA0109
3900,1880,880,1,AA010A
4000,2050,990,1,AA010B
4100,2220,1100,1,AA010C
4200,2400,1220,1,AA010D
4300,2580,1340,1,AA010E
4400,2760,1460,1,AA010F
4500,2950,1580,1,AA0110
4600,3140,1700,1,AA0111
4700,3330,1820,1,AA0112
4800,3510,1940,1,AA0113
4900,3700,2060,1,AA0114
5000,3880,2180,1,AA0115
